url,primary_intent,demand_signal,current_strength,issues,cannibalization_risk,recommended_action,priority,action_status,notes
https://quest-dp.com/blog/adsp-vs-sqld-순서/,Comparison,HIGH,"깊이 충분; 공식 외부 링크 1; 결정 트리","비공식 난이도·일정 표현이 있었음",LOW,UPDATE_EXISTING,P2,UPDATED_LOCAL,"공식 일정·시험 구조와 조건형 학습 시간으로 수정"
https://quest-dp.com/blog/adsp-2주-합격-로드맵/,Urgent_Last-minute,HIGH,"14일 일정과 과목별 표","ADsP 문항 수가 8/8/24로 잘못됨; 점수 보장 표현",LOW,UPDATE_EXISTING,P1,UPDATED_LOCAL,"공식 10/10/30으로 수정; D-14 시즌 재강화"
https://quest-dp.com/blog/sqld-노랭이-vs-questdp/,Commercial_Investigation,HIGH,"도구별 역할 구분이 분명","합격 가능·최적 비율을 단정",MEDIUM,UPDATE_EXISTING,P2,UPDATED_LOCAL,"노랭이 기출 키워드와 일반 SQLD 독학 pillar를 구분"
https://quest-dp.com/blog/adsp-비전공자-가이드/,Study,HIGH,"기존 ADsP 글 중 가장 깊고 Naver 노출 신호 확인","초보자보다 개념을 아는 독자에게 말하는 흐름이었음",LOW,UPDATE_EXISTING,P1,UPDATED_LOCAL_REVIEW_PENDING,"1·2과목 1주 / 3과목 2주 / 문제·오답 1주로 beginner pillar 강화"
https://quest-dp.com/blog/sqld-7일-압축-로드맵/,Urgent_Last-minute,HIGH,"7일 표와 개념 순서가 명확","SQLD를 3과목처럼 분리; 32/8문 오류; 합격선 보장",LOW,UPDATE_EXISTING,P1,UPDATED_LOCAL,"공식 10/40문 2과목 구조로 수정; D-7 시즌용"
https://quest-dp.com/blog/adsp-독학-vs-인강/,Commercial_Investigation,MEDIUM,"비용·선택 기준 표","존재하지 않는 후기 100건 분석·집단별 합격률",MEDIUM,UPDATE_EXISTING,P2,UPDATED_LOCAL,"합격률 표를 자기관리 조건표로 교체"
https://quest-dp.com/blog/comhwal-1급-vs-2급/,Comparison,HIGH,"검색 의도가 선명하고 URL 적합","본문이 약 1.4k자로 짧고 공식 출처 링크 없음",LOW,UPDATE_EXISTING,P1,PLANNED,"1급/2급 공식 시험 과목·실기 차이·선택 체크리스트 강화"
https://quest-dp.com/blog/comhwal-필기-비전공자-공부법/,Study,HIGH,"현재 general 공부법에 가장 가까운 URL","본문이 짧고 broad 컴활 공부법 coverage 부족",HIGH,UPDATE_EXISTING,P1,PLANNED,"새 general 글 대신 이 URL을 pillar로 확장"
https://quest-dp.com/blog/comhwal-컴퓨터-일반-우선순위/,Study,MEDIUM,"QuestDP 토픽 번호와 연결되는 독창성","검색자가 번호 체계를 모를 수 있음",LOW,UPDATE_EXISTING,P2,PLANNED,"시험 범위 용어를 먼저 제시하고 번호는 보조로"
https://quest-dp.com/blog/comhwal-필기에서-실기-전환법/,Study,MEDIUM,"필기→실기 intent가 독립적","QuestDP는 필기 중심이라 conversion relevance 낮음",LOW,HOLD_OR_LIGHT_UPDATE,P3,HOLD,"실기 콘텐츠 확장 약속 금지; 공식 경로 링크"
https://quest-dp.com/blog/comhwal-7일-필기-플랜/,Urgent_Last-minute,HIGH,"내부 링크 16개; 일정형 구조","노베이스 7일 의도에서 보장성 주의; 급수 구분 보강 필요",MEDIUM,UPDATE_EXISTING,P2,PLANNED,"컴활 필기는 상시시험이므로 계절보다 접수일 기준"
https://quest-dp.com/blog/comhwal-기출-복습법/,Study,HIGH,"앱 오답 복습 흐름과 강하게 연결","공식/합법적 기출 출처 안내와 예시 깊이 부족",LOW,UPDATE_EXISTING,P2,PLANNED,"CBT·PDF 불법 다운로드 유도 없이 오답 분류법 강화"
