date,platform,keyword,title,url,status,indexed,impressions,clicks,ctr,position,engagement,notes
"2026-08-25","questdp","SQLD 공부법","SQLD 공부법 — 처음 시작하는 사람의 4주 독학 플랜","https://quest-dp.com/blog/sqld-공부법/","PUBLISHED","REQUESTED","","","","","","commit 136de62 배포 후 사용자가 색인 요청 등 등록 완료"
"2026-08-25","naver","SQLD 공부법","SQLD 공부법. 아답터 강의, QuestDP, 노랭이로 4주 컷","https://blog.naver.com/tori_134/224389166630","PUBLISHED","UNKNOWN","","","","","","2026-08-25 사용자 게시·등록 완료"
"2026-08-25","threads","SQLD 공부법","처음 준비하는 사람에게 개념을 설명하지 않고, 강의·복습·문제집을 연결하는 4주 실행 순서 하나만 전달한다.","https://www.threads.com/@korea.certification/post/DcbtSYrE3pc","PUBLISHED","UNKNOWN","","","","","","2026-08-25 사용자 게시·등록 완료"
"2026-08-26","threads","ADsP 공부법","세 과목을 똑같이 나누면 3과목에서 일정이 무너진다는 한 문장과 1:2:1 시간 배분만 전달한다.","https://www.threads.com/@korea.certification/post/Dcg6ZYdExgo","PUBLISHED","UNKNOWN","","","","","","Content Studio에서 기록"
"2026-08-26","naver","ADsP 공부법","ADsP 비전공자 공부법. 3과목에 2주를 쓰는 4주 플랜","https://blog.naver.com/tori_134/224391518505","PUBLISHED","UNKNOWN","","","","","","Content Studio에서 기록"
"2026-08-26","questdp","ADsP 공부법","ADsP 공부법 — 비전공자가 통계에서 덜 막히는 4주 플랜","https://quest-dp.com/blog/adsp-비전공자-가이드/","PUBLISHED","UNKNOWN","","","","","","commit 7decea8 배포·CI·Cloudflare·운영 번들 확인; 색인 요청 여부 미확인"
"2026-08-29","naver","컴활 필기 공부법","컴활 필기 공부법, 비전공자는 2급 12회·1급 18회로 시작하세요","https://blog.naver.com/tori_134/224393512912","PUBLISHED","UNKNOWN","","","","","","8/29는 패키지 귀속일; 2026-09-07 공개 본문·정확한 QuestDP 필러 백링크 확인"
"2026-08-29","threads","컴활 필기 공부법","`2주 컷` 대신 2급 12회·1급 18회로 계획하면 하루를 놓쳐도 진도가 무너지지 않는다는 한 가지 의견","https://www.threads.com/@korea.certification/post/DclLjWMGlGY","PUBLISHED","UNKNOWN","","","","","","8/29는 패키지 귀속일; 2026-09-07 공개 원고 확인; 홈 도메인 표기·정확한 필러 링크 미확인"
"2026-08-29","tistory","컴활 필기 공부법","컴활 필기 문제은행식인데 기출 답만 외우면 안 되는 이유","https://view10559.tistory.com/1","PUBLISHED","UNKNOWN","","","","","","8/29는 패키지 귀속일; Studio 기록시각 2026-09-07; 공개 본문·정확한 QuestDP 필러 백링크 확인"
"2026-08-29","questdp","컴활 필기 공부법","컴활 필기 공부법 — 비전공자가 1급·2급을 덜 헤매는 순서","https://quest-dp.com/blog/comhwal-필기-비전공자-공부법/","PUBLISHED","UNKNOWN","","","","","","편성일 8/29; 실제 배포 2026-09-07; 콘텐츠 c1d9af2 + 설치 보정 48f7166; CI·Cloudflare·운영 HTML/JS·모바일 확인; 색인 요청은 사용자 단계"
"2026-09-12","questdp","ADsP 독학 vs 인강","ADsP 독학 vs 인강 — 처음이면 어디에 돈을 써야 할까","https://quest-dp.com/blog/adsp-독학-vs-인강/","PUBLISHED","UNKNOWN","","","","","","8/31–9/14 배치 및 8/30 비교 글 보강; 실제 변경 공개 9/12; 콘텐츠 dad1335; CI/Cloudflare Success 및 운영 HTML/JS 확인; GSC 이번 요청 미실행"
"2026-09-12","questdp","SQLD 노랭이와 QuestDP","SQLD 노랭이와 QuestDP — 언제 무엇을 보면 좋을까","https://quest-dp.com/blog/sqld-노랭이-vs-questdp/","PUBLISHED","UNKNOWN","","","","","","8/31–9/14 배치 및 8/30 비교 글 보강; 실제 변경 공개 9/12; 콘텐츠 dad1335; CI/Cloudflare Success 및 운영 HTML/JS 확인; GSC 이번 요청 미실행"
"2026-09-12","questdp","컴활 기출 복습법","컴활 기출 복습법 — 많이 푸는 것보다 다시 안 틀리는 법","https://quest-dp.com/blog/comhwal-기출-복습법/","PUBLISHED","UNKNOWN","","","","","","8/31–9/14 배치 및 8/30 비교 글 보강; 실제 변경 공개 9/12; 콘텐츠 dad1335; CI/Cloudflare Success 및 운영 HTML/JS 확인; GSC 이번 요청 미실행"
