keyword,certificate,parent_topic,search_intent,funnel_stage,demand_signal,demand_evidence,seasonality,business_relevance,conversion_potential,ranking_opportunity,current_questdp_page,current_coverage,cannibalization_risk,recommended_action,priority_score,target_platforms,notes
SQLD,SQLD,SQLD pillar,"Informational|Navigational",TOFU,VERY HIGH,"Naver autocomplete; dense official/competitor SERP",ALL_YEAR,VERY_HIGH,HIGH,MEDIUM,https://quest-dp.com/curriculum/sqld/,PARTIAL,MEDIUM,UPDATE,85,"QuestDP|Naver","Curriculum is accurate but not a full study guide"
SQLD 공부법,SQLD,SQLD study,Informational,TOFU,HIGH,"Naver SERP blog/cafe/Velog heavy; QuestDP absent",D30_D14,VERY_HIGH,HIGH,HIGH,,GAP,HIGH,CREATE_PILLAR,91,"QuestDP|Naver|Threads|Instagram","Distinct general pillar; link 7-day and 노랭이"
SQLD 독학,SQLD,SQLD study,Study,MOFU,HIGH,"Naver autocomplete includes 후기/책/1주/2주/기간",D30_D14,VERY_HIGH,HIGH,HIGH,,PARTIAL,HIGH,CREATE_OR_INCLUDE_PILLAR,88,"QuestDP|Naver|Threads|Instagram","Prefer one non-major/solo guide rather than variants"
SQLD 비전공자,SQLD,SQLD study,Study,MOFU,HIGH,"Naver autocomplete includes 1주/2주/3주/합격",D30_D14,VERY_HIGH,HIGH,HIGH,,GAP,HIGH,CREATE,87,"QuestDP|Naver|Instagram","Can be one URL with SQLD 독학 if intent overlaps"
SQLD 공부기간,SQLD,SQLD study,Informational,TOFU,HIGH,"Autocomplete variants 1주/2주/기간",D30_D7,HIGH,MEDIUM,HIGH,,PARTIAL,HIGH,INCLUDE_IN_PILLAR,81,"QuestDP|Naver|Instagram","Do not create one page per duration"
SQLD 1주,SQLD,SQLD urgent,Urgent_Last-minute,BOFU,HIGH,"Autocomplete 1주/일주일/벼락치기",D7,VERY_HIGH,HIGH,MEDIUM,https://quest-dp.com/blog/sqld-7일-압축-로드맵/,STRONG,LOW,UPDATE,86,"QuestDP|Naver|Threads|Instagram","Existing URL protected"
SQLD 2주,SQLD,SQLD urgent,Urgent_Last-minute,BOFU,HIGH,"Autocomplete 2주",D14,VERY_HIGH,HIGH,HIGH,https://quest-dp.com/blog/sqld-7일-압축-로드맵/,PARTIAL,HIGH,EXPAND_EXISTING_OR_PILLAR,82,"QuestDP|Naver|Instagram","Avoid separate 1/2/3-week pages"
SQLD 기출,SQLD,SQLD practice,Study,MOFU,HIGH,"Naver autocomplete; Google autocomplete",D14_D1,VERY_HIGH,VERY_HIGH,MEDIUM,https://quest-dp.com/blog/sqld-노랭이-vs-questdp/,PARTIAL,MEDIUM,UPDATE,84,"QuestDP|Naver|Threads","Explain legal sources and review method"
SQLD 기출문제,SQLD,SQLD practice,"Study|Transactional",BOFU,HIGH,"Autocomplete includes 기출문제/CBT/PDF/사이트",D14_D1,VERY_HIGH,VERY_HIGH,MEDIUM,https://quest-dp.com/curriculum/sqld/,PARTIAL,HIGH,UPDATE_HUB,83,"QuestDP|Naver","Do not publish copied exam text"
SQLD 기출 PDF,SQLD,SQLD practice,Transactional,BOFU,HIGH,"Autocomplete exact variant",D14_D1,MEDIUM,MEDIUM,LOW,,GAP,LOW,HOLD,55,"Naver","Copyright/official-source risk; no download bait"
SQLD CBT,SQLD,SQLD practice,Transactional,BOFU,HIGH,"Autocomplete exact variant",D14_D1,VERY_HIGH,VERY_HIGH,MEDIUM,,PARTIAL,MEDIUM,LANDING_OR_PRODUCT_COPY,78,"QuestDP|Naver","Use product page only if feature matches"
SQLD 노랭이,SQLD,SQLD materials,Commercial_Investigation,MOFU,HIGH,"Naver autocomplete 책/범위/PDF/난이도",D30_D7,HIGH,HIGH,MEDIUM,https://quest-dp.com/blog/sqld-노랭이-vs-questdp/,STRONG,LOW,UPDATE,79,"QuestDP|Naver","No disparagement; current comparison framing good"
SQLD 난이도,SQLD,SQLD exam,Informational,TOFU,HIGH,"Naver autocomplete 후기/디시",POST_EXAM_D30,MEDIUM,LOW,MEDIUM,,GAP,MEDIUM,HOLD_UNTIL_EVIDENCE,61,"Naver|Threads","No fake 후기 or restored-question claims"
SQLD 시험일정 2026,SQLD,SQLD exam,Exam_Information,BOFU,HIGH,"Official annual schedule; autocomplete 시험일정",REGISTRATION,MEDIUM,LOW,HIGH,https://quest-dp.com/exams/sqld/,TODO_NOINDEX,LOW,FILL_OFFICIAL_DATA_AND_INDEX,76,"QuestDP|Naver","Next exam 2026-11-14; page remains noindex until complete"
SQLD 시험시간,SQLD,SQLD exam,Exam_Information,BOFU,MEDIUM,"Common official fact intent",D7_D1,MEDIUM,LOW,HIGH,https://quest-dp.com/faq/sqld/,COVERED,LOW,UPDATE,68,"QuestDP|Naver","50 questions 90 minutes; cite KDATA"
SQLD 과락,SQLD,SQLD exam,Exam_Information,BOFU,MEDIUM,"Exam FAQ intent",D7_D1,HIGH,MEDIUM,HIGH,https://quest-dp.com/faq/sqld/,COVERED,LOW,UPDATE,72,"QuestDP|Threads","Total 60 and each subject 40%"
SQLD 62회 결과,SQLD,SQLD exam,Exam_Information,BOFU,MEDIUM,"Official score review 2026-09-04~08 and result 09-11",POST_EXAM,LOW,LOW,MEDIUM,https://quest-dp.com/exams/sqld/,GAP,LOW,HOLD_OR_OFFICIAL_UPDATE,58,"QuestDP|Naver","Do not invent difficulty; date-bound"
ADsP,ADSP,ADsP pillar,"Informational|Navigational",TOFU,VERY_HIGH,"Naver autocomplete; official/competitor SERP",ALL_YEAR,VERY_HIGH,HIGH,MEDIUM,https://quest-dp.com/curriculum/adsp/,PARTIAL,MEDIUM,UPDATE,85,"QuestDP|Naver","Curriculum can serve fact hub"
ADsP 공부법,ADSP,ADsP study,Informational,TOFU,HIGH,"Naver result includes QuestDP guide; autocomplete",D30_D14,VERY_HIGH,HIGH,HIGH,https://quest-dp.com/blog/adsp-비전공자-가이드/,STRONG,MEDIUM,UPDATE_EXISTING,92,"QuestDP|Naver|Threads|Instagram","Use existing URL as pillar"
ADSP 공부법,ADSP,ADsP study,Informational,TOFU,HIGH,"Google autocomplete exact capitalization variant",D30_D14,VERY_HIGH,HIGH,HIGH,https://quest-dp.com/blog/adsp-비전공자-가이드/,STRONG,HIGH,SAME_PAGE_VARIANT,88,"QuestDP|Naver","Do not create capitalization duplicate"
ADsP 독학,ADSP,ADsP study,Study,MOFU,HIGH,"Naver autocomplete 책/후기/기간/2주/비전공자",D30_D14,VERY_HIGH,HIGH,HIGH,https://quest-dp.com/blog/adsp-독학-vs-인강/,STRONG,MEDIUM,UPDATE_EXISTING,86,"QuestDP|Naver|Threads|Instagram","Cross-link non-major guide"
ADsP 비전공자,ADSP,ADsP study,Study,MOFU,HIGH,"Naver autocomplete; existing Naver visibility",D30_D14,VERY_HIGH,HIGH,HIGH,https://quest-dp.com/blog/adsp-비전공자-가이드/,STRONG,LOW,UPDATE_EXISTING,91,"QuestDP|Naver|Instagram","Current strongest ADsP asset"
ADsP 2주,ADSP,ADsP urgent,Urgent_Last-minute,BOFU,HIGH,"Naver autocomplete 독학 2주",D14,VERY_HIGH,HIGH,HIGH,https://quest-dp.com/blog/adsp-2주-합격-로드맵/,STRONG,LOW,UPDATE,89,"QuestDP|Naver|Threads|Instagram","Next D-14 activation around 2026-10-17"
ADsP 벼락치기,ADSP,ADsP urgent,Urgent_Last-minute,BOFU,MEDIUM,"Naver autocomplete under 독학",D7,VERY_HIGH,HIGH,MEDIUM,https://quest-dp.com/blog/adsp-2주-합격-로드맵/,PARTIAL,HIGH,INCLUDE_IN_EXISTING,73,"Naver|Threads","No separate thin page"
ADsP 기출,ADSP,ADsP practice,Study,MOFU,HIGH,"Naver/Google autocomplete PDF/복원/CBT/사이트",D14_D1,VERY_HIGH,VERY_HIGH,MEDIUM,https://quest-dp.com/curriculum/adsp/,PARTIAL,MEDIUM,UPDATE_HUB,84,"QuestDP|Naver","Original practice only; no copied exam source"
ADsP 기출 PDF,ADSP,ADsP practice,Transactional,BOFU,HIGH,"Autocomplete exact variant",D14_D1,MEDIUM,MEDIUM,LOW,,GAP,LOW,HOLD,54,"Naver","Copyright and source risk"
ADsP 난이도,ADSP,ADsP exam,Informational,TOFU,MEDIUM,"Seed + Google autocomplete",POST_EXAM_D30,MEDIUM,LOW,MEDIUM,,GAP,MEDIUM,HOLD_UNTIL_EVIDENCE,58,"Naver|Threads","No fabricated exam 후기"
ADsP 시험일정 2026,ADSP,ADsP exam,Exam_Information,BOFU,HIGH,"Official annual schedule; Naver autocomplete",REGISTRATION,MEDIUM,LOW,HIGH,https://quest-dp.com/exams/adsp/,TODO_NOINDEX,LOW,FILL_OFFICIAL_DATA_AND_INDEX,79,"QuestDP|Naver","Next exam 2026-10-31"
ADsP 시험시간,ADSP,ADsP exam,Exam_Information,BOFU,MEDIUM,"Common official fact intent",D7_D1,MEDIUM,LOW,HIGH,https://quest-dp.com/faq/adsp/,COVERED,LOW,UPDATE,68,"QuestDP|Naver","50 questions 90 minutes"
ADsP 과락,ADSP,ADsP exam,Exam_Information,BOFU,MEDIUM,"Exam FAQ intent",D7_D1,HIGH,MEDIUM,HIGH,https://quest-dp.com/faq/adsp/,COVERED,LOW,UPDATE,72,"QuestDP|Threads","Total 60 and subject 40%"
ADsP 50회 합격 발표,ADSP,ADsP exam,Exam_Information,BOFU,MEDIUM,"Official result date 2026-08-28",POST_EXAM,LOW,LOW,MEDIUM,https://quest-dp.com/exams/adsp/,GAP,LOW,HOLD_OR_OFFICIAL_UPDATE,57,"QuestDP|Naver","Short-lived; link official result only"
ADsP 3과목 공부법,ADSP,ADsP concept,Study,MOFU,HIGH,"Naver related search includes 3과목",D30_D7,VERY_HIGH,HIGH,HIGH,https://quest-dp.com/blog/adsp-비전공자-가이드/,STRONG,MEDIUM,EXPAND_EXISTING,82,"QuestDP|Naver|Instagram","Could become separate only if existing pillar gets too broad"
